0	rob_q_FBIS3-10909	Q0	rob_FBIS3-10909	2
1	rob_q_FT941-8917	Q0	rob_FBIS3-10383	0
2	rob_q_FBIS3-32394	Q0	rob_FBIS3-10722	1
3	rob_q_FBIS3-11360	Q0	rob_FBIS3-11360	2
4	rob_q_FBIS3-11617	Q0	rob_FBIS3-11056	2
5	rob_q_FBIS3-10822	Q0	rob_FBIS3-11312	2
6	rob_q_FBIS3-12692	Q0	rob_FBIS3-12692	2
7	rob_q_FT921-10729	Q0	rob_FBIS3-12817	0
8	rob_q_FBIS3-13523	Q0	rob_FBIS3-13190	2
9	rob_q_FBIS3-60811	Q0	rob_FBIS3-14121	0
10	rob_q_FBIS4-13826	Q0	rob_FBIS3-14609	1
11	rob_q_FBIS4-39077	Q0	rob_FBIS3-15228	1
12	rob_q_FT941-11998	Q0	rob_FBIS3-1562	2
13	rob_q_FT922-4987	Q0	rob_FBIS3-17616	2
14	rob_q_FBIS3-20263	Q0	rob_FBIS3-18329	2
15	rob_q_FBIS3-41196	Q0	rob_FBIS3-18547	1
16	rob_q_FBIS3-39138	Q0	rob_FBIS3-18736	2
17	rob_q_FBIS3-17487	Q0	rob_FBIS3-18564	3
18	rob_q_FBIS3-23314	Q0	rob_FBIS3-18658	2
19	rob_q_FBIS4-7486	Q0	rob_FBIS3-20763	3
20	rob_q_FBIS4-42526	Q0	rob_FBIS3-19428	2
21	rob_q_FT941-5427	Q0	rob_FBIS3-19498	2
22	rob_q_FT944-13536	Q0	rob_FBIS3-20917	3
23	rob_q_FBIS3-59774	Q0	rob_FBIS3-21237	1
24	rob_q_FT924-6712	Q0	rob_FBIS3-20926	3
25	rob_q_FBIS3-21433	Q0	rob_FBIS3-21433	3
26	rob_q_FT944-4067	Q0	rob_FBIS3-21275	0
27	rob_q_FT934-10797	Q0	rob_FBIS3-21306	2
28	rob_q_FBIS3-60042	Q0	rob_FBIS3-21870	2
29	rob_q_FBIS3-2650	Q0	rob_FBIS3-22383	2
30	rob_q_FBIS3-4279	Q0	rob_FBIS3-2212	2
31	rob_q_FBIS3-29047	Q0	rob_FBIS3-22740	2
32	rob_q_FBIS3-23578	Q0	rob_FBIS3-23578	2
33	rob_q_FBIS3-39657	Q0	rob_FBIS3-24227	0
34	rob_q_FBIS4-46832	Q0	rob_FBIS3-23927	2
35	rob_q_FBIS4-38899	Q0	rob_FBIS3-23932	1
36	rob_q_FBIS4-41471	Q0	rob_FBIS3-24256	2
37	rob_q_FT924-8127	Q0	rob_FBIS3-24256	2
38	rob_q_FBIS4-595	Q0	rob_FBIS3-24725	2
39	rob_q_FR941205-1-00031	Q0	rob_FBIS3-26731	2
40	rob_q_FBIS4-49614	Q0	rob_FBIS3-2485	3
41	rob_q_FBIS3-333	Q0	rob_FBIS3-25280	1
42	rob_q_FT943-2031	Q0	rob_FBIS3-26833	1
43	rob_q_FBIS4-26676	Q0	rob_FBIS3-27136	1
44	rob_q_FT943-10368	Q0	rob_FBIS3-27487	2
45	rob_q_FBIS3-8852	Q0	rob_FBIS3-27800	2
46	rob_q_FT932-3372	Q0	rob_FBIS3-27933	3
47	rob_q_FBIS4-24930	Q0	rob_FBIS3-28361	1
48	rob_q_FBIS3-28753	Q0	rob_FBIS3-28808	1
49	rob_q_FBIS3-29569	Q0	rob_FBIS3-29569	2
50	rob_q_FBIS4-29284	Q0	rob_FBIS3-28850	1
51	rob_q_FBIS4-12739	Q0	rob_FBIS3-2950	2
52	rob_q_FBIS3-31466	Q0	rob_FBIS3-30525	3
